,F1,H1,H10O4,H10O5,H10O6,H10O7,H11O5,H11O6,H11O7,H12O5,H12O6,H12O7,H13O6,H13O7,H13O8,H14O6,H14O7,H15O7,H15O8,H16O7,H16O8,H16O9,H17O11,H17O8,H18O9,H19O9,H1F1,H1N1,H1O1,H1O2,H2,H21O10,H2F1,H2N1,H2O1,H2O2,H3N1,H3O1,H3O1F1,H3O2,H3O3,H4N1,H4O1,H4O2,H4O3,H4O4,H5O1N1,H5O2,H5O3,H5O4,H6O1N1,H6O3,H6O4,H6O5,H7O2N1,H7O3,H7O4,H7O5,H7O6,H8O4,H8O5,H8O6,H9O4,H9O5,H9O6,N1,O1,X1,grp_>C128,grp_C1-3,grp_C16-31,grp_C32-63,grp_C4-7,grp_C64-127,grp_C8-15
30,0,96,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,45,0,0,0,848,5,0,10,0,8,0,0,0,15,1,0,0,8,2,0,0,3,1,0,0,20,2,0,0,3,0,0,27,0,1,0,60,2070,6,9,15,12,5,8,11
30,0,111,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,49,0,45,0,0,0,834,3,0,8,0,6,0,0,0,14,2,0,0,4,3,0,0,5,0,0,0,19,2,0,0,3,1,0,21,0,1,0,59,2070,7,15,16,10,8,9,14
30,0,117,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,44,0,0,0,854,3,0,13,0,6,0,0,0,10,1,0,0,6,2,0,0,10,0,0,0,20,4,0,0,5,0,0,17,0,1,0,60,2070,6,18,14,10,6,9,10
30,0,150,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,0,44,0,0,0,831,1,0,8,0,9,0,0,0,7,2,0,0,9,1,1,0,7,0,0,0,14,0,0,0,9,0,0,23,1,0,0,65,2070,4,17,14,11,5,9,12
30,0,150,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,0,46,0,0,0,820,5,0,8,0,12,0,0,0,21,1,0,0,5,1,0,0,10,0,0,0,17,0,0,0,2,0,0,26,0,0,0,62,2070,4,16,14,14,8,8,10
30,1,136,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,63,0,46,0,0,0,808,3,0,12,0,7,0,0,0,18,2,0,0,4,4,1,0,4,0,0,0,14,1,0,0,7,0,0,29,0,0,0,66,2070,7,19,16,13,11,9,9
30,0,138,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,46,0,0,0,814,3,0,12,0,10,1,0,0,14,2,0,0,8,3,0,0,12,0,0,0,12,1,0,0,5,0,1,22,0,0,0,70,2070,4,13,21,16,10,8,12
30,1,140,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,68,0,46,0,0,0,799,3,0,6,0,10,0,0,0,14,2,0,0,11,3,0,0,3,0,0,0,10,1,0,0,4,0,1,34,0,0,0,69,2070,4,15,18,13,9,8,11
30,1,152,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,0,0,0,816,5,0,4,0,9,0,0,0,14,0,0,0,8,2,0,0,6,1,0,0,15,2,1,0,7,0,0,27,0,0,0,63,2070,4,17,17,13,13,8,16
30,0,146,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,46,1,0,0,786,4,0,8,0,4,0,0,0,21,1,0,0,5,5,0,0,10,0,0,0,16,0,0,0,2,0,0,29,0,1,0,69,2070,5,18,15,14,12,6,13
