C-C,H-C,H-H,O-C,O-H,O-O
42,173,11,142,401,167
42,169,11,142,402,166
42,171,11,142,403,167
42,170,11,142,403,167
42,165,11,143,404,166
41,171,11,144,404,165
41,164,11,144,404,165
41,165,11,144,404,164
41,164,12,144,404,164
41,167,12,144,404,164
41,165,12,146,405,162
41,167,12,145,406,162
41,160,12,146,407,162
41,160,12,147,407,162
41,162,11,146,409,162
41,160,11,146,410,162
41,160,11,146,411,162
41,158,11,146,411,160
41,158,11,146,411,162
41,158,10,146,412,162
41,158,10,146,413,163
41,161,10,147,412,163
41,156,10,147,413,163
41,158,10,147,413,162
41,157,10,147,415,163
41,155,10,147,417,161
41,151,9,148,420,161
41,155,9,148,420,161
41,151,9,148,422,161
41,154,9,148,421,160
41,152,9,148,422,160
41,153,9,148,423,159
41,153,9,148,424,160
41,149,9,148,423,160
41,152,9,148,423,160
41,152,9,148,423,161
41,149,9,148,426,161
41,146,9,149,426,159
41,144,10,149,426,159
41,143,10,149,426,160
41,143,10,150,427,160
41,146,10,150,427,159
41,142,10,150,428,156
40,143,10,150,430,157
40,141,9,152,431,157
40,139,9,153,432,154
40,138,9,153,432,154
39,141,9,153,432,155
39,139,9,153,432,155
38,139,9,153,433,155
39,137,8,153,436,154
39,140,8,153,436,153
38,139,8,153,436,152
38,139,8,155,437,152
38,135,8,155,440,149
38,137,8,154,439,150
38,136,8,154,440,149
38,135,8,154,440,150
38,136,8,154,441,150
38,131,8,155,444,148
38,131,8,155,444,147
38,132,8,155,444,147
38,133,8,155,445,146
37,130,8,155,446,145
37,132,8,155,446,146
37,133,8,155,447,145
37,132,8,154,447,143
37,129,8,155,447,144
37,130,8,155,448,144
37,129,8,155,448,144
37,126,8,155,451,145
37,126,8,155,450,145
37,125,8,155,452,144
37,124,8,155,452,144
37,122,8,155,453,143
37,123,8,156,456,144
37,123,8,156,456,144
37,123,8,156,455,144
37,121,8,156,456,144
37,116,8,155,457,144
37,124,8,156,457,144
37,121,8,156,459,144
37,121,8,157,459,143
37,121,8,157,459,143
37,116,8,157,461,140
37,119,8,158,461,140
37,116,9,159,461,138
37,119,9,161,461,138
37,118,9,161,461,139
38,115,9,162,461,139
38,116,8,162,461,139
38,117,9,162,461,139
38,112,9,162,460,139
38,115,8,162,462,139
38,114,8,162,464,139
38,112,8,163,465,139
37,112,8,163,465,136
38,116,8,162,462,138
38,117,8,161,461,137
38,115,8,161,461,138
38,114,9,162,460,138
38,114,9,163,461,139
38,114,9,161,462,139
38,113,9,162,460,140
38,114,9,162,460,140
38,114,9,162,461,140
38,115,9,162,462,139
38,115,9,162,461,139
38,114,9,163,464,140
39,115,9,163,464,140
39,115,9,162,464,140
39,114,9,162,464,139
38,113,9,163,463,139
39,111,9,162,463,140
39,112,9,163,464,140
38,113,9,163,464,140
38,112,9,163,464,140
37,113,9,163,464,138
38,112,9,163,464,139
38,112,9,164,464,139
38,112,9,164,464,137
