C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,34,98,66,2,4,596,9,532,159
0,35,92,71,2,2,598,7,528,165
0,35,95,68,2,4,596,8,527,165
0,36,92,70,2,2,598,7,526,167
0,37,92,69,2,4,596,7,526,167
0,38,90,70,2,6,594,6,526,168
0,36,93,69,2,4,596,6,525,169
0,35,96,67,2,5,595,6,525,169
0,35,95,68,2,2,598,6,525,169
0,35,98,66,1,8,592,6,525,169
0,35,96,67,2,4,596,6,528,166
0,36,94,69,1,5,595,6,528,166
0,38,93,68,1,8,592,7,526,167
0,38,91,69,2,5,595,6,526,168
0,39,96,63,2,7,593,7,527,166
0,39,94,65,2,5,595,7,525,168
0,36,99,63,2,5,595,7,526,167
0,39,97,62,2,7,593,6,528,166
0,37,97,64,2,3,597,5,528,167
0,36,100,63,1,5,595,5,528,167
0,37,101,61,1,9,591,5,531,164
0,36,99,63,2,5,595,5,530,165
0,38,97,63,2,8,592,5,531,164
0,37,95,65,3,7,593,5,529,166
0,38,94,65,3,8,592,5,529,166
0,38,93,66,3,6,594,5,528,167
0,37,94,66,3,6,594,5,529,166
0,40,94,64,2,12,588,5,528,167
0,37,94,67,2,4,596,5,528,167
0,37,92,68,3,3,597,6,528,166
0,40,90,67,3,6,594,4,529,167
0,41,89,67,3,6,594,4,528,168
0,38,94,64,4,5,595,5,527,168
0,39,94,65,2,5,595,5,527,168
0,39,94,64,3,5,595,4,528,168
0,40,93,64,3,4,596,4,528,168
0,39,96,61,4,5,595,3,527,170
0,42,92,63,3,8,592,4,527,169
0,39,93,65,3,3,597,4,527,169
0,39,93,66,2,2,598,3,525,172
0,40,94,63,3,4,596,3,525,172
0,43,91,64,2,5,595,3,524,173
0,41,95,62,2,6,594,4,525,171
0,41,97,60,2,6,594,3,523,174
0,41,100,57,2,9,591,4,521,175
0,41,95,62,2,4,596,2,523,175
0,40,93,64,3,2,598,3,522,175
0,44,93,60,3,8,592,3,522,175
0,40,93,65,2,1,599,3,522,175
0,42,94,62,2,3,597,3,523,174
0,42,94,62,2,4,596,2,522,176
0,43,94,61,2,2,598,3,522,175
0,44,91,63,2,2,598,4,521,175
0,44,93,62,1,7,593,3,523,174
0,43,94,61,2,4,596,3,522,175
0,43,94,62,1,1,599,3,524,173
0,48,91,60,1,6,594,5,524,171
0,46,99,54,1,5,595,3,523,174
0,47,98,54,1,8,592,4,525,171
0,47,97,54,2,7,593,3,524,173
0,45,99,54,2,5,595,3,524,173
0,47,96,55,2,6,594,3,524,173
0,44,98,55,3,3,597,4,522,174
0,49,92,56,3,8,592,4,523,173
0,44,99,54,3,5,595,6,523,171
0,44,99,55,2,5,595,6,522,172
0,49,95,55,1,10,590,5,522,173
0,46,99,53,2,4,596,6,521,173
0,46,97,55,2,4,596,5,521,174
0,47,95,56,2,5,595,5,524,171
0,48,96,54,2,8,592,5,524,171
0,45,99,54,2,3,597,4,526,170
0,44,102,52,2,4,596,5,526,169
0,47,101,50,2,10,590,6,525,169
0,47,98,53,2,5,595,5,525,170
0,46,99,54,1,5,595,5,525,170
0,46,100,52,2,3,597,5,523,172
0,48,99,51,2,6,594,4,525,171
0,46,100,52,2,1,599,5,525,170
0,47,101,50,2,4,596,5,525,170
0,47,101,50,2,3,597,4,524,172
0,49,98,51,2,7,593,3,525,172
0,46,101,51,2,6,594,3,525,172
0,47,100,51,2,6,594,5,524,171
0,47,99,51,3,3,597,4,523,173
0,47,99,51,3,5,595,3,525,172
0,47,101,49,3,6,594,3,524,173
0,49,96,52,3,5,595,3,526,171
0,48,97,52,3,5,595,3,527,170
0,50,96,51,3,7,593,4,526,170
0,47,101,49,3,6,594,5,526,169
0,50,96,52,2,8,592,4,526,170
0,48,103,46,3,9,591,4,525,171
0,47,100,48,5,4,596,2,525,173
0,48,101,47,4,5,595,2,522,176
0,48,101,48,3,6,594,2,524,174
0,49,100,47,4,9,591,2,523,175
0,48,99,49,4,6,594,3,523,174
0,46,101,48,5,3,597,3,523,174
0,46,104,46,4,6,594,3,524,173
0,46,103,46,5,5,595,4,523,173
0,47,100,48,5,4,596,4,523,173
0,47,104,44,5,7,593,3,522,175
0,46,106,43,5,7,593,2,526,172
