Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
125,0,34,310,2890,366,225,150,205,291,74,119,88,6,4026,0,746,1798
126,0,34,307,2889,370,227,147,211,289,64,127,87,5,4027,0,755,1789
127,0,34,304,2886,376,228,149,199,301,67,116,92,4,4028,0,752,1792
128,0,35,305,2878,382,226,150,205,291,71,118,91,4,4028,0,746,1798
129,0,34,310,2876,380,231,151,197,292,66,123,92,3,4029,0,749,1795
130,0,35,309,2881,375,232,145,204,288,70,124,89,4,4028,0,755,1789
131,0,36,307,2881,376,222,161,199,289,68,125,88,4,4028,0,758,1786
132,0,36,311,2874,379,231,148,196,297,71,124,85,3,4029,0,756,1788
133,0,36,314,2872,378,225,153,202,297,64,124,87,5,4027,0,755,1789
134,0,36,317,2871,376,227,158,194,295,67,119,92,8,4024,0,757,1787
135,0,36,315,2872,377,228,155,195,295,70,121,88,4,4028,0,755,1789
136,0,35,315,2873,377,230,148,191,302,70,131,80,5,4027,0,758,1786
137,0,36,314,2869,381,229,153,200,289,71,119,91,4,4028,0,758,1786
138,0,36,315,2868,381,232,152,199,284,70,120,95,4,4028,0,752,1792
139,0,36,314,2874,376,231,152,199,284,74,122,90,3,4029,0,753,1791
140,0,36,317,2876,371,225,157,200,288,75,117,90,2,4030,0,748,1796
141,0,36,313,2885,366,235,151,187,298,71,120,90,3,4029,0,749,1795
142,0,36,313,2884,367,223,164,197,289,71,116,92,2,4030,0,749,1795
143,0,36,312,2885,367,229,153,199,290,72,125,84,2,4030,0,755,1789
144,0,36,315,2883,366,224,159,197,290,74,128,80,4,4028,0,754,1790
145,0,35,315,2882,368,228,156,197,282,80,124,85,3,4029,0,750,1794
146,0,35,313,2882,370,228,153,205,287,66,126,87,5,4027,0,752,1792
147,0,35,314,2884,367,231,149,204,291,63,124,90,8,4024,0,751,1793
148,0,35,313,2892,360,232,149,201,295,60,128,87,7,4025,0,750,1794
149,0,35,315,2889,361,234,144,205,292,63,124,90,8,4024,0,748,1796
150,0,35,318,2876,371,233,154,191,293,71,116,94,8,4024,0,748,1796
151,0,35,316,2879,370,230,153,198,293,68,122,88,6,4026,0,752,1792
152,0,35,316,2879,370,232,141,212,289,68,121,89,7,4025,0,754,1790
153,0,35,315,2875,375,233,155,190,296,63,125,90,6,4026,0,748,1796
154,0,35,313,2880,372,227,156,198,297,68,119,87,6,4026,0,757,1787
155,0,35,310,2885,370,229,155,192,299,68,119,90,5,4027,0,754,1790
156,0,35,311,2885,369,233,150,204,289,60,128,88,7,4025,0,754,1790
157,0,35,311,2881,373,232,155,197,289,63,126,90,5,4027,0,751,1793
158,0,35,309,2886,370,230,157,195,289,68,128,85,5,4027,0,754,1790
159,0,35,311,2882,372,234,145,202,292,72,122,85,3,4029,0,749,1795
160,0,35,308,2887,370,229,149,205,296,62,128,83,2,4030,0,749,1795
161,0,35,309,2889,367,233,151,194,297,75,113,89,2,4030,0,751,1793
162,0,35,312,2890,363,232,149,205,287,69,125,85,2,4030,0,752,1792
163,0,35,309,2891,365,230,155,194,293,73,120,87,4,4028,0,754,1790
164,0,35,306,2895,364,232,150,202,291,70,121,86,3,4029,0,755,1789
165,0,35,305,2907,353,231,156,194,294,73,112,92,3,4029,0,753,1791
166,0,35,309,2896,360,228,149,197,301,74,119,84,4,4028,0,750,1794
167,0,35,310,2899,356,231,151,202,288,76,119,85,2,4030,0,750,1794
168,0,35,308,2902,355,232,149,208,287,64,126,86,5,4027,0,754,1790
169,0,35,311,2899,355,228,150,209,286,75,116,88,3,4029,0,749,1795
170,0,34,311,2897,358,234,143,207,292,72,113,91,3,4029,0,754,1790
171,0,35,308,2898,359,230,152,204,287,68,122,89,4,4028,0,750,1794
172,0,35,307,2895,363,232,148,207,288,71,115,91,6,4026,0,753,1791
173,0,35,302,2904,359,235,141,212,286,75,112,91,7,4025,0,751,1793
174,0,35,303,2896,366,228,158,194,294,79,109,90,5,4027,0,751,1793
175,0,35,306,2894,365,232,149,203,294,68,120,86,2,4030,0,754,1790
176,0,35,309,2894,362,236,152,190,298,64,127,85,4,4028,0,752,1792
177,0,35,311,2899,355,233,154,197,288,73,119,88,4,4028,0,749,1795
178,0,35,313,2893,359,238,150,189,299,71,117,88,3,4029,0,749,1795
179,0,35,310,2898,357,227,161,195,295,68,116,90,6,4026,0,753,1791
180,0,34,311,2904,351,238,152,196,289,63,121,93,5,4027,0,749,1795
181,0,34,315,2892,359,235,150,203,287,72,112,93,3,4029,0,750,1794
182,0,34,317,2895,354,236,143,204,295,70,117,87,6,4026,0,748,1796
183,0,34,313,2899,354,229,157,199,287,77,116,87,9,4023,0,748,1796
184,0,34,312,2900,354,230,150,208,290,68,118,88,8,4024,0,752,1792
185,0,34,316,2896,354,238,146,204,286,73,120,85,6,4026,0,754,1790
186,0,36,315,2896,353,235,151,206,286,65,123,86,5,4027,0,757,1787
187,0,36,312,2898,354,235,149,200,285,82,114,87,3,4029,0,755,1789
188,0,36,315,2894,355,232,147,214,284,72,116,87,5,4027,0,758,1786
189,0,36,317,2897,350,234,152,206,284,65,125,86,5,4027,0,755,1789
190,0,36,319,2896,349,235,151,205,285,68,122,86,5,4027,0,753,1791
191,0,36,320,2890,354,237,152,199,284,75,120,85,6,4026,0,756,1788
192,0,36,323,2890,351,234,153,197,294,67,124,83,5,4027,0,744,1800
193,0,36,321,2894,349,232,157,204,282,72,121,84,3,4029,0,755,1789
194,0,36,321,2890,353,228,161,205,282,64,133,79,5,4027,0,751,1793
195,0,36,321,2889,354,229,166,192,285,80,112,88,6,4026,0,756,1788
196,0,36,324,2886,354,232,160,189,292,80,117,82,6,4026,0,755,1789
197,0,37,327,2887,349,239,142,212,281,77,113,88,6,4026,0,756,1788
198,0,37,328,2885,350,238,149,199,289,71,123,83,6,4026,0,757,1787
199,0,38,330,2883,349,235,157,198,285,69,122,86,4,4028,0,753,1791
200,0,38,329,2883,350,232,153,209,282,77,110,89,3,4029,0,755,1789
201,0,38,330,2880,352,231,156,204,282,79,116,84,4,4028,0,750,1794
202,0,39,330,2879,352,236,146,205,292,66,121,86,5,4027,0,750,1794
203,0,39,328,2878,355,234,153,206,281,73,118,87,4,4028,0,755,1789
204,0,39,326,2877,358,238,150,202,285,71,120,86,3,4029,0,754,1790
205,0,39,330,2874,357,234,152,208,284,66,119,89,3,4029,0,751,1793
206,0,39,331,2871,359,238,152,199,284,71,120,88,5,4027,0,749,1795
207,0,39,331,2874,356,232,152,213,281,65,124,85,4,4028,0,748,1796
208,0,39,333,2872,356,234,155,197,292,67,127,80,6,4026,0,751,1793
209,0,40,333,2871,356,231,157,203,285,70,121,85,5,4027,0,749,1795
210,0,40,332,2871,357,231,163,194,283,77,124,80,3,4029,0,752,1792
211,0,41,336,2870,353,231,155,206,284,73,117,86,3,4029,0,748,1796
212,0,41,334,2866,359,233,160,199,285,67,119,89,3,4029,0,748,1796
213,0,41,334,2865,360,232,148,214,281,74,124,79,5,4027,0,752,1792
214,0,41,339,2861,359,232,149,210,284,69,130,78,4,4028,0,747,1797
215,0,41,338,2864,357,235,154,199,288,71,118,87,4,4028,0,749,1795
216,0,41,335,2861,363,234,161,188,291,79,113,86,4,4028,0,753,1791
217,0,41,335,2861,363,232,163,198,283,72,115,89,4,4028,0,757,1787
218,0,41,332,2866,361,235,158,198,280,72,123,86,5,4027,0,753,1791
219,0,41,332,2866,361,234,152,202,286,78,117,83,5,4027,0,757,1787
220,0,41,336,2856,367,237,154,198,286,64,132,81,5,4027,0,756,1788
221,0,41,334,2863,362,235,152,202,290,68,120,85,5,4027,0,753,1791
222,0,41,335,2860,364,233,156,202,286,72,121,82,4,4028,0,752,1792
223,0,41,334,2861,364,234,157,198,290,73,115,85,5,4027,0,753,1791
224,0,42,331,2863,364,230,160,206,285,68,118,85,4,4028,0,752,1792
225,0,42,329,2869,360,236,152,207,283,66,124,84,6,4026,0,750,1794
226,0,41,333,2866,360,235,153,204,286,67,123,84,6,4026,0,753,1791
227,0,42,331,2867,360,239,149,206,279,72,120,87,7,4025,0,752,1792
228,0,42,332,2870,356,233,151,209,287,70,122,80,2,4030,0,750,1794
229,0,42,333,2867,358,235,160,206,276,63,129,83,6,4026,0,754,1790
230,0,43,333,2864,360,235,156,195,292,82,107,85,6,4026,0,752,1792
231,0,43,331,2868,358,236,150,207,288,68,116,87,5,4027,0,748,1796
232,0,43,332,2865,360,234,155,206,286,67,119,85,6,4026,0,746,1798
233,0,43,332,2868,357,232,156,208,283,70,123,80,5,4027,0,748,1796
234,0,43,330,2863,364,236,155,202,287,72,108,92,4,4028,0,746,1798
235,0,43,333,2862,362,230,160,206,282,76,114,84,6,4026,0,745,1799
236,0,43,335,2864,358,233,156,211,277,77,113,85,7,4025,0,750,1794
237,0,43,330,2869,358,233,165,194,281,82,109,88,6,4026,0,745,1799
238,0,43,331,2870,356,234,158,199,289,74,113,85,5,4027,0,744,1800
239,0,43,330,2876,351,235,154,209,281,80,103,90,5,4027,0,746,1798
240,0,43,332,2876,349,235,153,207,282,75,115,85,6,4026,0,745,1799
241,0,43,333,2875,349,238,154,202,278,73,124,83,7,4025,0,745,1799
242,0,43,334,2874,349,235,147,216,280,73,116,85,7,4025,0,747,1797
243,0,43,332,2873,352,232,158,203,287,73,118,81,7,4025,0,750,1794
244,0,43,328,2876,353,237,152,206,279,84,108,86,6,4026,0,750,1794
245,0,43,329,2871,357,234,156,207,282,72,113,88,6,4026,0,749,1795
246,0,43,329,2867,361,239,147,205,289,69,124,79,5,4027,0,751,1793
247,0,44,327,2867,362,234,156,206,282,74,115,85,5,4027,0,747,1797
248,0,44,330,2858,368,235,149,217,276,75,114,86,4,4028,0,747,1797
249,0,44,332,2857,367,237,162,194,281,76,118,84,5,4027,0,753,1791
250,0,44,331,2859,366,240,148,201,294,73,108,88,5,4027,0,752,1792
251,0,44,338,2851,367,235,155,201,288,78,115,80,6,4026,0,753,1791
252,0,44,336,2854,366,237,168,185,285,73,120,84,8,4024,0,755,1789
253,0,44,335,2856,365,234,158,197,289,82,111,81,8,4024,0,756,1788
254,0,44,332,2856,368,233,155,207,286,72,116,83,5,4027,0,756,1788
255,0,44,336,2850,370,236,148,214,288,68,114,84,7,4025,0,763,1781
256,0,44,333,2857,366,238,152,208,283,70,113,88,6,4026,0,759,1785
257,0,44,332,2863,361,237,148,210,285,75,113,84,6,4026,0,757,1787
258,0,44,332,2862,362,234,164,204,277,74,108,91,8,4024,0,757,1787
259,0,44,332,2864,360,238,155,199,290,71,114,85,5,4027,0,756,1788
260,0,44,334,2862,360,231,169,190,289,70,122,81,7,4025,0,753,1791
261,0,44,332,2865,359,243,159,184,293,67,125,81,6,4026,0,756,1788
