C1H2O3N1,C3H4O8N3,C4H5O11N4,C4H5O7N2,C4H5O9N3,C4H6O11N4,C4H6O13N5,C4H6O5N1,C4H6O7N2,C4H6O9N3,C4H7O13N5,C8H11O20N7,C8H11O22N8,C8H12O16N5,C8H12O18N6,C8H12O20N7,C8H12O22N8,H1,H1O2N1,O2N1
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,81,0,0,3,13,0,0,0,0,0,0,1,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,1,0,1,82,0,0,3,13,0,0,0,0,0,0,0,0,2,18
0,0,0,0,2,82,0,0,3,13,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,80,0,0,2,14,0,0,0,0,1,0,0,0,2,19
0,0,1,0,1,80,0,0,3,15,0,0,0,0,0,0,0,0,2,20
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,80,0,0,3,15,0,0,0,0,0,0,0,0,2,20
0,0,1,0,1,80,0,0,3,15,0,0,0,0,0,0,0,0,2,20
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,0,0,2,79,0,0,3,16,0,0,0,0,0,0,0,0,2,22
0,0,0,0,2,79,0,0,3,16,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,4,15,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,79,0,0,4,15,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,79,0,0,4,15,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,79,0,0,4,15,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,78,0,1,3,16,0,0,0,0,0,0,0,0,2,24
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,76,0,0,4,18,0,0,0,0,0,0,0,0,2,25
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,77,1,0,4,16,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,76,1,0,4,17,0,0,0,0,0,0,0,0,2,23
0,0,0,0,2,77,1,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,77,1,0,4,16,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,75,1,0,4,16,0,0,0,0,0,0,1,0,2,22
0,0,0,0,2,77,1,1,3,16,0,0,0,0,0,0,0,0,2,24
0,0,0,0,2,77,1,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,77,1,0,4,16,0,0,0,0,0,0,0,0,2,22
0,0,1,0,1,78,0,0,4,16,0,0,0,0,0,0,0,0,2,23
0,0,1,0,1,77,0,0,4,15,0,0,0,0,0,1,0,0,2,23
0,0,1,0,1,76,0,0,4,16,0,0,0,0,0,1,0,0,2,24
0,0,1,0,1,76,0,0,4,16,0,0,0,0,0,1,0,0,2,24
0,0,1,0,1,76,0,0,4,18,0,0,0,0,0,0,0,0,2,25
0,0,1,0,1,77,0,0,4,17,0,0,0,0,0,0,0,0,2,24
0,0,0,0,1,76,0,0,4,17,0,0,1,0,0,0,0,0,2,24
0,0,1,0,1,76,0,0,4,18,0,0,0,0,0,0,0,0,2,25
0,0,1,0,1,77,0,0,4,17,0,0,0,0,0,0,0,0,2,24
0,0,1,0,1,77,0,0,4,17,0,0,0,0,0,0,0,0,2,24
